Player,PlayerID,OldPP,WeightedUP,AverageDelta,AverageFactor
Viveliam,3506793,14962.80214810482,15561.111641402042,21.561832772264687,-0.07972889404959871
SadnessWillSear,6591496,15296.145462206643,15559.743151858069,10.34555790436877,0.054361798464928605
polski1,18131614,15961.244711053168,15554.819034935512,-3.51656430259848,0.22829715298293438
Allegrissimo,9052194,15240.913982595224,15553.723954160621,1.5756128468881354,0.06245934943385133
A L E P H,6735738,15533.443745698763,15550.36533764713,-13.539143730147208,0.3610985907977435
Seiong,7341471,15636.26740068471,15545.916678367657,-11.858679952643811,0.3063502369464128
Jarran,11417993,15991.285705694168,15542.614871907654,-20.249838979808725,0.37947574402362344
Xemtin,18897621,15176.321702444802,15525.01892398066,13.83023060664343,0.03223182849320428
Jakson,8788058,14955.081328997965,15513.290325840377,18.746993644383743,-0.012434264777562787
Epes,11351654,15817.257625231761,15512.99523326129,-5.424117464648671,0.17090651322286185
SrChispa,5455713,15204.220791188165,15508.42272689146,12.09633241844554,-0.11973580204953765
-ZooM-,7728757,15602.922861608748,15501.85399073884,-6.341719302536823,0.20826024792066203
z10a,18153252,15883.045480226598,15494.111449085894,-16.6110494595203,0.3862006056892628
MYKEYBOARD,15567583,15539.771475277319,15483.79733977933,-10.521329844395673,0.29588743427596753
Jad,12652779,14722.488448107655,15483.120511526042,25.606344682249485,0.03845306822322967
shiroude,12479148,15334.194902811485,15463.691220832612,10.507184106901732,0.03519779196479997
Cymango,19256705,16136.524798697923,15438.149671561465,-12.778889058010535,0.34405321440272196
Sherbet,11800154,14836.890022109188,15436.409150994155,19.298410188587262,-0.037625070687590786
Hagawobla,11509631,15305.748093307828,15435.722312050533,13.227213619866118,0.0008670078842337858
xolotyy,26368668,16387.386354775575,15424.154409280543,-0.35930989367236466,0.32130704131303106
Stoof,4916057,15082.05969141983,15423.484615414389,17.045043595102705,-0.011797969112144271
Flameztear,13207763,15279.083286167317,15414.540237373814,9.408607405121511,0.11063328736804584
kemsi,31507014,15625.191322231785,15414.034470029603,-12.557903921564952,0.33127080638350115
suly,7806847,15690.894139929096,15398.62179352306,-9.964572622630682,0.2906715732068661
orngoos,20250190,15597.603402180497,15398.139173877722,0.9091372203327682,0.09136421079061444
ryunic,10913538,15456.032349908495,15389.746342358747,-0.31359645048813717,0.12242932124333365
im a fancy lad,4908650,14926.108569323176,15389.573704719784,29.11095656108567,-0.07660606763241061
fedoragoose,2323131,15448.020056128631,15375.128477945416,4.956312901835385,0.1041069339579428
